Año,Trimestre,Fibra óptica,Provincia
2024,2,1849476,Buenos Aires
2024,2,230402,Capital Federal
2024,2,58355,Catamarca
2024,2,68944,Chaco
2024,2,26516,Chubut
2024,2,477504,Córdoba
2024,2,39792,Corrientes
2024,2,68540,Entre Ríos
2024,2,18977,Formosa
2024,2,53492,Jujuy
2024,2,37226,La Pampa
2024,2,23294,La Rioja
2024,2,188815,Mendoza
2024,2,87389,Misiones
2024,2,41784,Neuquén
2024,2,67636,Río Negro
2024,2,64689,Salta
2024,2,45792,San Juan
2024,2,34255,San Luis
2024,2,49545,Santa Cruz
2024,2,390090,Santa Fe
2024,2,30008,Santiago Del Estero
2024,2,3684,Tierra Del Fuego
2024,2,213753,Tucumán
2024,1,203756,Capital Federal
2024,1,56542,Catamarca
2024,1,64463,Chaco
2024,1,26356,Chubut
2024,1,458985,Córdoba
2024,1,38268,Corrientes
2024,1,66180,Entre Ríos
2024,1,17908,Formosa
2024,1,51084,Jujuy
2024,1,35556,La Pampa
2024,1,23086,La Rioja
2024,1,185460,Mendoza
2024,1,81498,Misiones
2024,1,41577,Neuquén
2024,1,66889,Río Negro
2024,1,61543,Salta
2024,1,44904,San Juan
2024,1,31539,San Luis
2024,1,49545,Santa Cruz
2024,1,374288,Santa Fe
2024,1,27018,Santiago Del Estero
2024,1,3684,Tierra Del Fuego
2024,1,205959,Tucumán
2023,4,1784593,Buenos Aires
2023,4,182520,Capital Federal
2023,4,55437,Catamarca
2023,4,62301,Chaco
2023,4,26174,Chubut
2023,4,440536,Córdoba
2023,4,35968,Corrientes
2023,4,61667,Entre Ríos
2023,4,16179,Formosa
2023,4,49947,Jujuy
2023,4,34331,La Pampa
2023,4,22559,La Rioja
2023,4,182220,Mendoza
2023,4,75382,Misiones
2023,4,41583,Neuquén
2023,4,64323,Río Negro
2023,4,60800,Salta
2023,4,42691,San Juan
2023,4,30135,San Luis
2023,4,55246,Santa Cruz
2023,4,355762,Santa Fe
2023,4,24271,Santiago Del Estero
2023,4,3682,Tierra Del Fuego
2023,4,199876,Tucumán
2023,3,1740239,Buenos Aires
2023,3,167428,Capital Federal
2023,3,54650,Catamarca
2023,3,54993,Chaco
2023,3,25827,Chubut
2023,3,417338,Córdoba
2023,3,36032,Corrientes
2023,3,54794,Entre Ríos
2023,3,14904,Formosa
2023,3,48350,Jujuy
2023,3,32891,La Pampa
2023,3,22054,La Rioja
2023,3,178719,Mendoza
2023,3,70003,Misiones
2023,3,39243,Neuquén
2023,3,56668,Río Negro
2023,3,59914,Salta
2023,3,42383,San Juan
2023,3,24525,San Luis
2023,3,11270,Santa Cruz
2023,3,336013,Santa Fe
2023,3,21745,Santiago Del Estero
2023,3,3682,Tierra Del Fuego
2023,3,195053,Tucumán
2023,2,1645945,Buenos Aires
2023,2,136295,Capital Federal
2023,2,53177,Catamarca
2023,2,51955,Chaco
2023,2,16111,Chubut
2023,2,411703,Córdoba
2023,2,32834,Corrientes
2023,2,49251,Entre Ríos
2023,2,13698,Formosa
2023,2,47289,Jujuy
2023,2,31449,La Pampa
2023,2,21245,La Rioja
2023,2,171857,Mendoza
2023,2,64406,Misiones
2023,2,35171,Neuquén
2023,2,53325,Río Negro
2023,2,58275,Salta
2023,2,25217,San Juan
2023,2,15595,San Luis
2023,2,11269,Santa Cruz
2023,2,311166,Santa Fe
2023,2,17244,Santiago Del Estero
2023,2,525,Tierra Del Fuego
2023,2,188986,Tucumán
2023,1,1551074,Buenos Aires
2023,1,156222,Capital Federal
2023,1,50230,Catamarca
2023,1,49756,Chaco
2023,1,9815,Chubut
2023,1,386297,Córdoba
2023,1,30016,Corrientes
2023,1,44508,Entre Ríos
2023,1,13345,Formosa
2023,1,46271,Jujuy
2023,1,28126,La Pampa
2023,1,20722,La Rioja
2023,1,152534,Mendoza
2023,1,56619,Misiones
2023,1,32296,Neuquén
2023,1,45329,Río Negro
2023,1,56259,Salta
2023,1,12798,San Juan
2023,1,6952,San Luis
2023,1,12217,Santa Cruz
2023,1,283988,Santa Fe
2023,1,16656,Santiago Del Estero
2023,1,405,Tierra Del Fuego
2023,1,180976,Tucumán
2022,4,1499149,Buenos Aires
2022,4,138548,Capital Federal
2022,4,47337,Catamarca
2022,4,47285,Chaco
2022,4,9815,Chubut
2022,4,367393,Córdoba
2022,4,26752,Corrientes
2022,4,40798,Entre Ríos
2022,4,13118,Formosa
2022,4,42626,Jujuy
2022,4,24552,La Pampa
2022,4,19328,La Rioja
2022,4,147080,Mendoza
2022,4,46885,Misiones
2022,4,31567,Neuquén
2022,4,43958,Río Negro
2022,4,53470,Salta
2022,4,12491,San Juan
2022,4,3409,San Luis
2022,4,12217,Santa Cruz
2022,4,248558,Santa Fe
2022,4,15117,Santiago Del Estero
2022,4,405,Tierra Del Fuego
2022,4,168717,Tucumán
2022,3,1436433,Buenos Aires
2022,3,129218,Capital Federal
2022,3,46224,Catamarca
2022,3,44645,Chaco
2022,3,9574,Chubut
2022,3,338570,Córdoba
2022,3,18619,Corrientes
2022,3,36971,Entre Ríos
2022,3,11041,Formosa
2022,3,40172,Jujuy
2022,3,23551,La Pampa
2022,3,19697,La Rioja
2022,3,142615,Mendoza
2022,3,39046,Misiones
2022,3,29396,Neuquén
2022,3,41017,Río Negro
2022,3,50254,Salta
2022,3,12328,San Juan
2022,3,248,San Luis
2022,3,10815,Santa Cruz
2022,3,215189,Santa Fe
2022,3,13170,Santiago Del Estero
2022,3,403,Tierra Del Fuego
2022,3,162345,Tucumán
2022,2,1399043,Buenos Aires
2022,2,121506,Capital Federal
2022,2,42087,Catamarca
2022,2,42194,Chaco
2022,2,9574,Chubut
2022,2,308895,Córdoba
2022,2,18181,Corrientes
2022,2,35839,Entre Ríos
2022,2,9875,Formosa
2022,2,34184,Jujuy
2022,2,22994,La Pampa
2022,2,19189,La Rioja
2022,2,135504,Mendoza
2022,2,33649,Misiones
2022,2,28824,Neuquén
